,,,,,,,,,,,,,,,,isotope packing,,,,,,,
position,Box #,col_a-g,row_1-7,site,plot,trt,taxon,rep,multi_envelope,extra_envelope,vial ID / sample ID,extra needed?,Notes,who,ground,uc davis weight ideal,weight,plate,well id,comment_isotope,comment_minig,comment_problems,why
135,3,B,6,lubb,27,npk,BOGR2,1,135,137,multi_lubb_27_npk_bogr2_01_135,added,"all smply used, extra added",mk,yes,,,2,D3,,,,
136,3,C,6,lubb,27,npk,BOGR2,2,042,044,multi_lubb_27_npk_bogr2_02_042_hard,added,"all smpl used, all extra added",mk,yes,,,2,D4,,,,
137,3,D,6,lubb,28,ctl,BOGR2,2,057,059,multi_lubb_28_ctl_bogr2_01_057_hard,added,"all smpl used, all extra added, rep # discrepancy",mk,yes,,,2,D5,,,,
138,3,E,6,lubb,29,npk,BOGR2,2,066,068,multi_lubb_29_npk_bogr2_02_066_hard,added,"all smpl used, all extra added",mk,yes,,,2,D6,,,,
139,3,F,6,lubb,37,ctl,BOGR2,1,105,107,multi_lubb_37_ctl_bogr2_01_105,added,"all smpl used, all extra added, rep # discrepancy",mk,yes,,,2,D7,,,,
140,3,G,6,lubb,37,ctl,BOGR2,2,081,083,multi_lubb_37_ctl_bogr2_02_081_hard,added,"all smpl used, all extra added",mk,yes,,,2,D8,,,,
141,3,A,7,lubb,5,npk,CHIN2,1,154,156,multi_lubb_05_npk_chin2_01_154,no,all smpl used,mk,yes,,,2,D9,,,,
142,3,B,7,lubb,5,npk,CHIN2,2,000,002,multi_lubb_05_npk_chin2_02_000_hard,no,all smpl used,mk,yes,,,2,D10,,,,
143,3,C,7,lubb,8,ctl,CHIN2,1,138,140,multi_lubb_08_ctl_chin2_01_138,no,all smpl used,mk,yes,,,2,D11,,,,
144,3,D,7,lubb,8,ctl,CHIN2,2,015,017,multi_lubb_08_ctl_chin2_02_015_hard,no,all smpl used,mk,yes,,,2,D12,,,,
145,3,E,7,lubb,27,npk,CHIN2,1,123,125,multi_lubb_26_npk_chin2_01_123,no,all smpl used,mk,yes,,,2,E1,,,,
146,3,F,7,lubb,27,npk,CHIN2,2,030,032,multi_lubb_27_npk_chin2_02_030_hard,no,all smpl used,mk,yes,,,2,E2,,,,
147,3,G,7,lubb,28,ctl,CHIN2,1,117,119,multi_lubb_28_ctl_chin2_01_117,no,all smpl used,mk,yes,,,2,E3,,,,
148,4,A,1,lubb,28,ctl,CHIN2,2,045,047,multi_lubb_28_ctl_chin2_02_045_hard,no,all smpl used,mk,yes,,,2,E4,,,,
149,4,B,1,lubb,29,npk,CHIN2,1,108,110,multi_lubb_29_npk_chin2_01_108,no,all smpl used,mk,yes,,,2,E5,,,,
150,4,C,1,lubb,29,npk,CHIN2,2,060,062,multi_lubb_29_npk_chin2_02_060_hard,no,all smpl used,mk,yes,,,2,E6,,,,
151,4,D,1,lubb,37,ctl,CHIN2,1,090,092,multi_lubb_37_ctl_chin2_01_090,no,all smpl used,mk,yes,,,2,E7,,,,
152,4,E,1,lubb,37,ctl,CHIN2,2,075,077,multi_lubb_37_ctl_chin2_02_075_hard,added,"all smpl used, some extra added",mk,yes,,,2,E8,,,,
153,4,F,1,lubb,37,ctl,CHIN2,2,093,095,multi_lubb_37_ctl_chin2_02_093,added,"all smpl used, all extra added",mk,yes,,,2,E9,,,,
154,4,G,1,lubb,5,npk,SAKA,2,003,005,multi_lubb_05_npk_saka_02_003,added,"all smpl used, some extra added",mk,yes,,,2,E10,,,,
155,4,A,2,lubb,8,ctl,SAKA,1,222,224,multi_lubb_08_ctl_saka_01_222_hard,added,"all smpl used, all extra added",mk,yes,,,2,E11,,,,
156,4,B,2,lubb,8,ctl,SAKA,2,018,020,multi_lubb_08_ctl_saka_02_018_hard,added,"all smpl used, all extra added",mk,yes,,,2,E12,,,,
157,4,C,2,lubb,27,npk,SAKA,1,132,134,multi_lubb_27_npk_saka_01_132,added,"all smpl used, all extra added",mk,yes,,,2,F1,,,,
158,4,D,2,lubb,27,npk,SAKA,2,033,035,multi_lubb_27_npk_saka_02_033_hard,added,"all smpl used, some extra added",mk,yes,,,2,F2,,,,
159,4,E,2,lubb,28,ctl,SAKA,2,048,050,multi_lubb_28_ctl_saka_02_048_hard,added,"all smpl used, all extra added",mk,yes,,,2,F3,,,,
160,4,F,2,lubb,29,npk,SAKA,1,111,113,multi_lubb_29_npk_saka_01_111,added,"all smpl used, taxon old = hyod, some of extra added",mk,yes,,,2,F4,,,,
161,4,G,2,lubb,29,npk,SAKA,2,063,065,multi_lubb_29_npk_saka_02_063_hard,added,"all smpl used, all extra added",mk,yes,,,2,F5,,,,
162,4,A,3,lubb,37,ctl,SAKA,1,102,104,multi_lubb_37_ctl_saka_01_102,added,"all smpl used, most extra added",mk,yes,,,2,F6,,,,
163,4,B,3,lubb,37,ctl,SAKA,2,078,080,multi_lubb_37_ctl_saka_02_078_hard,added,"all smpl used, most extra added",mk,yes,,,2,F7,,,,
164,4,C,3,lubb,5,npk,SOEL,1,157,159,multi_lubb_05_npk_soel_01_157,no,all smpl used,mk,yes,,,2,F8,,,,
165,4,D,3,lubb,5,npk,SOEL,2,009,011,multi_lubb_05_npk_soel_02_009_hard,no,all smpl used,mk,yes,,,2,F9,,,,
166,4,E,3,lubb,8,ctl,SOEL,1,219,221,multi_lubb_08_ctl_soel_01_219,no,all smpl used,mk,yes,,,2,F10,,,,
167,4,F,3,lubb,8,ctl,SOEL,2,149,147,multi_lubb_08_ctl_soel_02_149_hard,no,all smpl used,mk,yes,,,2,F11,,,,
168,4,G,3,lubb,27,npk,SOEL,1,129,131,multi_lubb_27_npk_soel_01_129,no,all smpl used,mk,yes,,,2,F12,,,,
